date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:51:28	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:28%20GMT	https://resources.xceptional.com/tag/ccpa	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/ccpa	(from https://resources.xceptional.com/)
11:51:29	51485/51485	---MCZ	200	added ('OK')	text/html	etag:W/%220089164de6fcf414349b1123fc0253e5%22	https://resources.xceptional.com/blog/tag/ccpa	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/ccpa.html	(from https://resources.xceptional.com/)
11:51:31	76334/76334	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2006:21:31%20GMT	https://resources.xceptional.com/tag/cisco	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/cisco.html	(from https://resources.xceptional.com/)
11:51:32	77079/77079	---MCZ	200	added ('OK')	text/html	date:Tue,%2023%20Jan%202024%2006:21:33%20GMT	https://resources.xceptional.com/tag/cloud	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/cloud.html	(from https://resources.xceptional.com/)
11:51:33	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:34%20GMT	https://resources.xceptional.com/tag/compliance	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/compliance	(from https://resources.xceptional.com/)
11:51:34	55900/55900	---MCZ	200	added ('OK')	text/html	etag:W/%227381dc9d6b992e36cc2390919f4240b0%22	https://resources.xceptional.com/blog/tag/compliance	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/compliance.html	(from https://resources.xceptional.com/)
11:51:35	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:35%20GMT	https://resources.xceptional.com/tag/compliance-as-a-service	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/compliance-as-a-service	(from https://resources.xceptional.com/)
11:51:35	56131/56131	---MCZ	200	added ('OK')	text/html	etag:W/%228bded5181fd5c090409ac873a2e389d1%22	https://resources.xceptional.com/blog/tag/compliance-as-a-service	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/compliance-as-a-service.html	(from https://resources.xceptional.com/)
11:51:37	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:37%20GMT	https://resources.xceptional.com/tag/compliance-plan	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/compliance-plan	(from https://resources.xceptional.com/)
11:51:38	51800/51800	---MCZ	200	added ('OK')	text/html	etag:W/%222a25ee9369ade68252322474c9bdf0dc%22	https://resources.xceptional.com/blog/tag/compliance-plan	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/compliance-plan.html	(from https://resources.xceptional.com/)
11:51:39	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:40%20GMT	https://resources.xceptional.com/tag/compliance-services	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/compliance-services	(from https://resources.xceptional.com/)
11:51:40	52698/52698	---MCZ	200	added ('OK')	text/html	etag:W/%22c9d3225f6e4a6832dc942cb633440746%22	https://resources.xceptional.com/blog/tag/compliance-services	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/compliance-services.html	(from https://resources.xceptional.com/)
11:51:41	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:42%20GMT	https://resources.xceptional.com/tag/connectivity	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/connectivity	(from https://resources.xceptional.com/)
11:51:42	49950/49950	---MCZ	200	added ('OK')	text/html	etag:W/%22c4960e09f22051774806d77bd3a0821b%22	https://resources.xceptional.com/blog/tag/connectivity	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/connectivity.html	(from https://resources.xceptional.com/)
11:51:43	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:44%20GMT	https://resources.xceptional.com/tag/cyber-attacks	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/cyber-attacks	(from https://resources.xceptional.com/)
11:51:44	50712/50712	---MCZ	200	added ('OK')	text/html	etag:W/%22d03aed95b7b5629e099186a3a0ca1baa%22	https://resources.xceptional.com/blog/tag/cyber-attacks	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/cyber-attacks.html	(from https://resources.xceptional.com/)
11:51:46	66824/66824	---MCZ	200	added ('OK')	text/html	etag:W/%226b97884f7eed0aaea7b9043c2d88825f%22	https://resources.xceptional.com/tag/cyber-insurance	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/cyber-insurance.html	(from https://resources.xceptional.com/)
11:51:47	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:47%20GMT	https://resources.xceptional.com/tag/cyber-security	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/cyber-security	(from https://resources.xceptional.com/)
11:51:48	58989/58989	---MCZ	200	added ('OK')	text/html	etag:W/%22ef435d5d140da3a77446cb7ec81fc614%22	https://resources.xceptional.com/blog/tag/cyber-security	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/cyber-security.html	(from https://resources.xceptional.com/)
11:51:49	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:49%20GMT	https://resources.xceptional.com/tag/cyber-security-best-practices	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/cyber-security-best-practices	(from https://resources.xceptional.com/)
11:51:50	51811/51811	---MCZ	200	added ('OK')	text/html	etag:W/%22ce60f9ce7a063fc7a82cf9301b8b122e%22	https://resources.xceptional.com/blog/tag/cyber-security-best-practices	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/cyber-security-best-practices.html	(from https://resources.xceptional.com/)
11:51:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:52%20GMT	https://resources.xceptional.com/tag/cyber-security-provider	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/cyber-security-provider	(from https://resources.xceptional.com/)
11:51:53	50738/50738	---MCZ	200	added ('OK')	text/html	etag:W/%228e194baf2b38030c1bac5257e0036d75%22	https://resources.xceptional.com/blog/tag/cyber-security-provider	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/blog/tag/cyber-security-provider.html	(from https://resources.xceptional.com/)
11:51:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2023%20Jan%202024%2006:21:54%20GMT	https://resources.xceptional.com/tag/cyber-threat-detection	C:/My%20Web%20Sites/Xceptional-BitbyteSage/resources.xceptional.com/tag/cyber-threat-detection	(from https://resources.xceptional.com/)
